id,medicalname
1,augmentin 625 duo tablet
2,azithral 500 tablet
3,ascoril ls syrup
4,allegra 120mg tablet
5,avil 25 tablet
6,allegra-m tablet
7,amoxyclav 625 tablet
8,azee 500 tablet
9,atarax 25mg tablet
10,ascoril d plus syrup sugar free
11,aciloc 150 tablet
12,alex syrup
13,anovate cream
14,augmentin duo oral suspension
15,ambrodil-s syrup
16,arkamin tablet
17,avomine tablet
18,asthakind-dx syrup sugar free
19,allegra 180mg tablet
20,albendazole 400mg tablet
21,asthalin syrup
22,alprax 0.25 tablet
23,altraday capsule sr
24,ativan 2mg tablet
25,ascoril ls junior syrup
26,asthalin 100mcg inhaler
27,almox 500 capsule
28,atarax 10mg tablet
29,aciloc rd 20 tablet
30,aldactone tablet
31,allegra suspension raspberry & vanilla
32,atarax syrup
33,amlokind-at tablet
34,axcer  90mg tablet
35,ativan 1mg tablet
36,alkasol oral solution
37,aldigesic p 100mg/325mg tablet
38,alfoo 10mg tablet pr
39,alprax 0.5mg tablet
40,arachitol 6l injection
41,anafortan 25 mg/300 mg tablet
42,alex junior syrup
43,azithral 200 liquid
44,ab phylline capsule
45,althrocin 500 tablet
46,augmentin dds suspension
47,azicip 500 tablet
48,aldigesic-sp tablet
49,amoxycillin 500mg capsule
50,asthakind expectorant sugar free
51,acemiz plus tablet
52,aceclo plus tablet
53,anobliss cream
54,alex cough lozenges lemon ginger
55,asthalin respules
56,avil injection
57,azee 200mg dry syrup
58,atorva tablet
59,asthakind-ls expectorant cola sugar free
60,ascoril ls drops
61,azmarda 50mg tablet
62,amixide-h tablet
63,ab-flo-n tablet
64,af kit tablet
65,amlokind 5 tablet
66,amlong tablet
67,akt 4 kit
68,ascoril d junior cough syrup
69,amitone 10mg tablet
70,aulin 100mg tablet
71,amikacin sulphate 500mg injection
72,ambrodil-lx syrup
73,aquasol a capsule
74,ab phylline sr 200 tablet
75,azoran tablet
76,aztor 10 tablet
77,atorva 40 tablet
78,azax 500 tablet
79,alex syrup sugar free
80,anxit 0.5 tablet
81,anxit 0.25mg tablet
82,acitrom 2 tablet
83,angispan - tr 2.5mg capsule
84,azeflo nasal spray
85,acemiz -mr tablet
86,akurit 4 tablet
87,aerocort inhaler
88,adaferin gel
89,acivir 400 dt tablet
90,aptimust syrup
91,augmentin 1000 duo tablet
92,ambrodil syrup
93,acogut tablet
94,atarax drops
95,biotrix 500 injection
96,bitaz p 1000mg/125mg injection
97,briscef 100mg tablet
98,bardazi 250mg tablet
99,bgmont-lc syrup orange
100,befopan 40mg injection
101,bactol kid 125mg tablet
102,bacdroxyl 500mg tablet
103,bgspas-dm tablet
104,brucef 100mg tablet
105,bakolip 5mg tablet
106,bitdox 25mg tablet
107,bactipime 250mg injection
108,broxtar syrup
109,brofil 0.09% eye drop
110,biozif-lb tablet
111,bisacad tablet
112,bivir tablet dt
113,bedamax 100 injection
114,benoking 250 mg/125 mg injection
115,bivir tablet dt
116,bedamax 100 injection
117,baxcom d 30mg/40mg capsule sr
118,bentodex eye/ear drops
119,bolt 2500mcg injection
120,butaflox 50mg oral suspension
121,biokalm 2mg tablet
122,biomyxin b 50000iu injection
123,bep 4mg tablet
124,bectino ne ointment
125,bitpara 250mg oral suspension
126,bros-ls expectorant
127,brocin suspension
128,biocid 10mg tablet
129,betaduo-kid dry syrup
130,biochol 150mg tablet
131,bizo d 30mg/20mg tablet sr
132,bt coxib 90mg tablet
133,benlonac-sr tablet
134,benodik sp 50mg/325mg/15mg tablet
135,bypain s 50mg/15mg tablet
136,bultra 500mg injection
137,bptite 5mg/10mg tablet
138,benprazole 20 capsule
139,belfe 20mg injection
140,bitnac rz 200mg/20mg capsule sr
141,bitnac p syrup
142,bric 50mg dry syrup
143,burdy 5mg tablet
144,bgzol 20 capsule
145,bactiroz 500mg tablet
146,bacter 50mg suspension
147,blefen p 50mg/325mg tablet
148,bedrot 40mg injection
149,babygest 300mg tablet sr
150,bioglita m 30 mg/500 mg tablet
151,bepagesic 100mg/500mg tablet
152,betcozy d syrup
153,baclin 10mg tablet
154,broadcure 250mg/250mg capsule
155,bentiz k 50mg/2mg tablet
156,bilclav 875 mg/125 mg tablet
157,bactosar 500mg injection
158,banin 50mg tablet dt
159,biotrax 1000mg injection
160,betavog 0.2mg tablet md
161,bitsotin 8mg tablet
162,blanim ap 100mg/500mg tablet
163,bigtrik s 250mg/125mg injection
164,bisomine 2.5mg tablet
165,broxin kid 125mg tablet
166,bgzol 20 capsule
167,bitamox kid   250mg tablet
168,bovose 0.2 tablet md
169,bedrot 40mg injection
170,betavog 0.2mg tablet md
171,bacter 50mg suspension
172,biotrax 1000mg injection
173,bitsotin 8mg tablet
174,banin 50mg tablet dt
175,bactiroz 500mg tablet
176,bilclav 875 mg/125 mg tablet
177,banhelmin 400mg tablet
178,baflox o 200mg/500mg tablet
179,clafron o 50mg syrup
180,crich 200mg tablet vt
181,c zone 250mg injection
182,crota gm cream
183,c fax 250mg injection
184,ciporni tablet
185,combimox capsule
186,cazithro 100mg/5ml suspension
187,cavidin 450mg tablet
188,calsunate 60mg injection
189,cefxi 250mg injection
190,capofin 70mg injection
191,cloxapene 250 mg/250 mg capsule
192,cefaxil 1gm injection
193,cachof 400mg tablet
194,combitide 25mcg/50mcg inhaler
195,cbzee b cream
196,camlodip 10mg tablet
197,cendu 40mg capsule
198,celomide 25 capsule
199,ceftus clav 50mg/31.25mg dry syrup
200,clarinix 125mg dry syrup
201,covalent plus 100mg/325mg/10mg tablet
202,carezim 3.125mg tablet
203,cadprol 25mg tablet xl
204,cardules retard 10mg capsule
205,c-tech 1000mg injection
206,ceponat 200mg tablet
207,cefdac 100mg tablet
208,cardisec 30mg tablet
209,cardisec 120mg tablet
210,ceftop 1.5gm injection
211,closis 0.5mg tablet
212,cexus 500mg capsule
213,cefin sb 250mg/125mg injection
214,curenin 100mg injection
215,cdcon 20mg tablet
216,corcef s 1000mg/500mg injection
217,c rock 125mg tablet dt
218,cephalpet 250mg capsule
219,celotin forte 500mg/600mg tablet
220,cobaroz 2500mcg injection
221,caregesic-th tablet
222,cefdrish 500mg tablet
223,cubol 1500mcg injection
224,clidnix 1% gel
225,ceftar 250 injection
226,cefovin 1000mg injection
227,cefovin-o tablet
228,cepzone sb 1000mg/500mg injection
229,cefitop-oz tablet
230,ciptus 500mg tablet
231,cxl o 200mg/200mg tablet
232,cascahist syrup
233,ceftagard 500mg injection
234,canderm bg cream
235,cisanorm 10mg tablet
236,ceftox s 500mg/250mg injection
237,clav mx 500mg/125mg tablet
238,cefluv 200mg tablet
239,citalop 10mg tablet
240,camnox 8mg/325mg tablet
241,celithro 500mg tablet
242,cifzone 500mg injection
243,cetrone 1000mg injection
244,cbpan 40mg injection
245,conceft s 1000mg/500mg injection
246,cepolab o 200mg/200mg tablet
247,cadcof cx syrup
248,cobamide p 100mg/325mg tablet
249,cefizorb cl 200mg/500mg tablet
250,cefrem 50 dry syrup
251,cephlin 250mg tablet dt
252,citbact 250mg tablet
253,cebect tz 250mg/300mg tablet
254,cefla dry syrup
255,cefta-one-s injection
256,domeco 2500 injection
257,devacid plus oral suspension
258,defhil 6mg oral suspension
259,dra v kit
260,droxivent 250mg tablet dt
261,drosier m 80mg/250mg tablet
262,divalcot er 250mg tablet
263,doxoruba 10mg injection
264,diclorix sp 50mg/325mg/15mg tablet
265,dazocef 1000mg/125mg injection
266,dformin-pg2 tablet sr
267,dekabol 25mg injection
268,dekabol 25mg injection
269,drosier m 80mg/250mg tablet
270,devacid plus oral suspension
271,difcot 6mg tablet
272,dynoxy lb 100mg tablet dt
273,deerox syrup
274,defloz 30mg tablet
275,defbert 6 tablet
276,diclony-mr tablet
277,dipdox 200mg tablet
278,deflabet 6 tablet
279,dicomol sp 50mg/325mg/10mg tablet
280,dolfed m oral suspension
281,dinformin 80mg/500mg tablet
282,didase p 50mg/325mg/10mg tablet
283,delfur 250mg tablet
284,douxrab ace 200mg/20mg capsule sr
285,doupod-cl tablet
286,diclonix injection
287,dicllos injection
288,daxithro 500 tablet
289,dortawell 80mg tablet
290,domifit 10mg oral drops
291,dynamo p 750mcg/75mg capsule
292,donac 75mg injection
293,drosil mf 80mg/250mg tablet
294,dokay eye/ear drop
295,dr cvdol 3.125mg tablet
296,dyflow 20mg tablet
297,drmpred-gt eye drop
298,doxton 100mg dry syrup
299,dreto 120mg tablet
300,dvldlr lz 1% cream
301,delmee 40mg tablet
302,danavish acarbose 25mg tablet
303,d-code 30mg tablet
304,devas 40mg tablet
305,dcyline 100mg injection
306,dicyloent 20mg/325mg tablet
307,divi a 500mg injection
308,domitin o 10 mg/10 mg capsule
309,dipro 75mg tablet
310,depnil forte 5 mg/25 mg tablet
311,dion p 50 mg/500 mg tablet
312,duralyn 100mg capsule cr
313,donagyl 100 mg/100 mg tablet
314,dial 0.25mg tablet
315,di valp 500mg tablet
316,duraga 50mg tablet
317,diznil 75mg tablet
318,deall-a syrup
319,dieclo gel
320,dase 10mg tablet
321,dipra 0.5mg tablet
322,deocef 100mg tablet
323,duracetam 800mg tablet
324,denfee mouth paint
325,drotarid m 80mg/250mg tablet
326,dizep-p 5mg injection
327,d-bose 0.2 tablet
328,diare m 2mg/500mg tablet sr
329,dolzid oral suspension
330,deefix 50mg dry syrup
331,daltrex 150mg capsule
332,dec nd 50mg injection
333,droact ac 80mg/100mg tablet
334,dezi 200mg oral suspension
335,disar 50mg/10mg tablet
336,dslog mr 250mg/50mg/325mg tablet
337,duloviz 30mg tablet
338,kaztree 120mg tablet
339,kyricef 200mg tablet
340,kyricef 50mg dry syrup
341,kyrixzon 1000mg injection
342,kefnac 75mg injection
343,kurelid 100mg tablet
344,kubmol 650 tablet
345,kanmesin rd tablet
346,kxcin-oz 200mg/500mg tablet
347,klized 600mg tablet
348,kaynac p 100mg/325mg tablet
349,kapsulair lc 5mg/10mg tablet
350,kapdox cl 200mg tablet
351,krother 150mg injection
352,kancef tz 1000mg/125mg injection
353,kodirin 80mg/250mg tablet
354,kyzacort 6mg oral suspension
355,kadiflox 200mg tablet
356,karidip mr 250mg/50mg/325mg tablet
357,kylofen sp plus 100mg/325mg/15mg tablet
358,klaxone s 500mg/250mg injection
